message,actual_sentiment,predicted_sentiment,sentiment_confidence,actual_sarcasm
"Episode 30 min ka tha, somehow 2 hours ho gaye",Negative,Neutral,0.976,True
True crime podcast raat ko sunna obviously excellent decision tha,Negative,Neutral,0.5382,True
"Podcast ka intro hi 8 min ka hai, content probably shy hai",Negative,Neutral,0.9486,True
Documentary start ki aur suddenly historian ban gaya,Positive,Neutral,0.9351,True
YouTube recommendation ne ek random topic pe 2 hours chura liye,Negative,Neutral,0.9649,True
"Tutorial 10 min ka tha, setup 40 min ka",Negative,Neutral,0.9807,True
Podcast host ne exactly woh opinion bola jo main avoid kar raha tha,Negative,Neutral,0.5202,True
YouTube autoplay meri productivity ka permanent enemy hai,Negative,Positive,0.9083,True
Educational video dekhte dekhte unrelated conspiracy pe pahunch gaya,Negative,Neutral,0.6177,True
Video ke comments kabhi kabhi actual content se better hote hain,Positive,Neutral,0.9192,True
Documentary khatam hui aur ab topic pe unnecessarily invested hu,Positive,Negative,0.9938,True
Tutorial follow kiya aur result exactly thumbnail jaisa nahi tha,Negative,Neutral,0.7368,True
One episode aur bolte bolte season khatam,Positive,Negative,0.9716,True
Board game start hua aur 5 min mein rules pe argument,Negative,Neutral,0.9977,True
UNO mein friendship temporary contract hoti hai,Negative,Neutral,0.9906,True
"Puzzle ka last piece missing hai, obviously",Negative,Neutral,0.9702,True
Board game mein rules sabko yaad hain except when convenient,Negative,Neutral,0.9902,True
"Puzzle box pe 500 pieces likhe the, meri patience 50 ki thi",Negative,Neutral,0.9926,True
Chess board pe friendship aur strategy dono test ho rahe,Neutral,Positive,0.499,True
Game night mein snacks ka budget games se zyada ho gaya,Positive,Neutral,0.9969,True
Quiz question easy tha until timer started,Negative,Positive,0.5423,True
Board game ka winner already victory speech prepare karke aaya tha,Positive,Neutral,0.961,True
Haan rules explain karne mein game se zyada time gaya,Negative,Neutral,0.914,True
Puzzle solve karte karte table pe permanent residence ho gaya,Negative,Neutral,0.9945,True
Card shuffle ke baad destiny officially decide ho gayi,Neutral,Positive,0.7661,True
Game ka “quick round” sabse bada lie tha,Negative,Positive,0.9843,True
Winner ko trophy nahi mili but ego full mil gaya,Positive,Negative,0.9843,True
Registration desk pe naam likhte likhte handwriting ka confidence chala gaya,Negative,Positive,0.9856,True
Volunteer badge pehen ke responsibility automatically double lagti hai,Positive,Neutral,0.9582,True
Cleanup drive mein area sach mein better dikhne laga,Positive,Neutral,0.6761,False
Charity run mein main running se zyada cheering kar raha tha,Positive,Neutral,0.8403,True
Volunteers ke matching T-shirts ne team spirit obvious kar di,Positive,Neutral,0.7168,True
Event ke baad cleanup sabse real volunteer task nikla,Negative,Positive,0.9977,True
Bhai museum ka dinosaur dekh ke meri height ka confidence chala gaya 😭,Negative,Positive,0.9844,True
Aaj first time pottery try ki aur bowl actually bowl jaisa bana 😭😂,Positive,Neutral,0.9695,False
Planetarium mein stars dekhe aur apni problems thodi microscopic lagne lagi,Positive,Neutral,0.9902,False
Local theatre ka small play expected se kaafi better tha,Positive,Neutral,0.9857,False
Heritage building ke andar jaake laga history ne proper interior designer rakha tha,Positive,Neutral,0.9464,True
Library ke old newspaper section mein pura alag world mil gaya,Positive,Negative,0.5472,False
"Archive mein ek letter padha jo 70 saal purana tha, weirdly personal feel hua",Positive,Negative,0.9777,False
"Bhai antique shop mein ek chair dekhi, price dekh ke chair se zyada main hil gaya",Negative,Neutral,0.9746,True
Old photographs dekh ke city kitni change ho gayi samajh aaya,Neutral,Negative,0.8692,False
Wax museum mein ek statue ko real person samajh ke awkwardly smile kar diya,Negative,Positive,0.9961,True
Bhai dinosaur skeleton ke saamne khade hoke evolution ka respect badh gaya,Positive,Neutral,0.8444,False
"Gallery mein blank wall ko bhi art bol diya, ab main bhi artist hu",Positive,Negative,0.9575,True
"Hand-painted postcards mil gaye, normal photos se zyada cute lag rahe",Positive,Neutral,0.6489,False
Bhai souvenir shop mein magnet kharid ke officially tourist ban gaya,Positive,Negative,0.9643,True
Local crafts wale uncle ne pura process live dikha diya,Positive,Neutral,0.9874,False
Handmade basket itni strong thi ki plastic bags insecure ho jayenge,Positive,Negative,0.8372,True
Station pe chai nahi mili but vending machine ne emotional support diya,Negative,Positive,0.9659,True
Bus driver ne route itni smoothly manage kiya ki GPS jealous ho jaye,Positive,Negative,0.7577,True
Public transport map dekh ke laga geometry wapas aa gayi,Negative,Neutral,0.9639,True
Metro mein ek musician ne pura coach concert bana diya,Positive,Neutral,0.5314,False
Bhai bus stop pe 20 minute wait karke bus ko celebrity treatment diya,Negative,Neutral,0.7949,True
"Aaj desert sunset dekha, sky literally orange ho gaya",Positive,Neutral,0.9488,False
"Sand dunes pe chalna Instagram pe easy lagta tha, reality mein cardio tha",Negative,Neutral,0.7968,True
Bhai camel ride mein balance ka asli test ho gaya,Negative,Neutral,0.9884,True
Glacier ka colour camera se bhi zyada unreal tha,Positive,Negative,0.6345,False
Snow village itna quiet tha ki footsteps bhi loud lag rahe the,Neutral,Negative,0.4874,False
Mountain cabin mein fireplace ke saamne baithna perfect tha,Positive,Neutral,0.9948,False
Sky mein green lights dekhi aur camera nikalna automatically ho gaya,Positive,Neutral,0.6134,False
"Bhai weather app ne clear sky bola tha, clouds ne personal opinion rakha",Negative,Neutral,0.9971,True
Snowfall mein walking beautiful hai until gloves wet ho jaye,Negative,Positive,0.9372,True
Ice rink pe bachche sab Olympic athletes lag rahe the,Positive,Neutral,0.9636,True
Skiing ka first lesson mostly gravity samajhne mein gaya,Negative,Neutral,0.9931,True
"Snowman banaya, face thoda suspiciously judgemental tha",Neutral,Negative,0.9215,True
Coffee plantation mein beans ka journey samajh aaya,Positive,Neutral,0.9892,False
Tea garden ka view genuinely unreal tha,Positive,Negative,0.9352,False
Bhai farm tour mein chicken ne mujhe ignore karke hierarchy clear kar di,Neutral,Negative,0.9247,True
Local cheese tasting mein har cheese ka personality alag tha,Positive,Neutral,0.964,True
"Farmers market ka honey directly hive se aaya tha, taste amazing tha",Positive,Neutral,0.9598,False
Pumpkin field mein photos ka content unlimited tha,Positive,Neutral,0.9765,True
Bee farm pe protective suit pehen ke astronaut feel hua,Positive,Neutral,0.9984,True
Honey tasting ke baad supermarket wali honey thodi boring lag rahi,Positive,Negative,0.9326,True
"Local farm se fresh eggs mile, breakfast ka taste alag hi tha",Positive,Neutral,0.7932,False
Fruit picking mein basket se zyada fruits stomach mein gaye,Positive,Neutral,0.9968,True
"Aaj telescope se Saturn ke rings dekhe, unreal moment tha",Positive,Negative,0.613,False
Meteor shower ke liye raat ko wait kiya aur finally shooting star dikha,Positive,Neutral,0.988,False
Space documentary ke baad moon suddenly neighbour jaisa lagne laga,Positive,Neutral,0.9839,True
Observatory mein telescope line mein wait karna worth it tha,Positive,Neutral,0.8544,False
Black hole ka concept samjha nahi but fascination full hai,Positive,Negative,0.6091,False
Candle-making workshop mein wax ne meri patience test kar li,Negative,Positive,0.757,True
Sketching ke liye 3 hours nikale aur eraser ne zyada kaam kiya,Negative,Neutral,0.4986,True
"Bhai clay sculpture banana tha, potato jaisa sculpture ban gaya",Negative,Neutral,0.995,True
Handmade card banaya aur store-bought se zyada personal laga,Positive,Neutral,0.9428,False
"DIY project video mein 5 steps tha, mere version mein 18",Negative,Neutral,0.9863,True
Painting complete hui but artist statement abhi missing hai 😂,Neutral,Negative,0.8799,True
Pottery wheel pe clay control karna expected se difficult tha,Negative,Neutral,0.9972,False
Handmade bookmark bana ke immediately book dhoondhne laga,Positive,Negative,0.7081,True
Aaj chess puzzle solve kiya without looking at the answer,Positive,Neutral,0.9879,False
Bhai opponent ne opening move hi aisa kiya ki main Google dhoondhne laga,Negative,Neutral,0.9784,True
Crossword ka ek word pura confidence kha gaya,Negative,Positive,0.9766,True
Rubik's cube solve hua after approximately 73 emotional breakdowns,Positive,Neutral,0.8956,True
Magic trick ka secret samajh aaya aur childhood thoda less magical ho gaya,Negative,Positive,0.7795,True
Bhai riddle ka answer itna obvious tha ki obviously nahi mila,Negative,Neutral,0.691,True
"Quiz buzzer pe haath ready tha, answer nahi",Negative,Neutral,0.9981,True
Logic puzzle solve karke unnecessary confidence aa gaya,Positive,Negative,0.8867,True
Word game mein vocabulary unexpectedly kaam aa gayi,Positive,Negative,0.5777,False
Stand-up comedian ne audience se zyada apne jokes enjoy kiye 😂,Positive,Negative,0.9144,True
Movie theatre ka popcorn movie se zyada expensive tha,Negative,Neutral,0.9374,True
Short film ka ending bilkul expected nahi tha,Positive,Neutral,0.5115,False
"Bhai movie ka trailer pura plot bata gaya, ab film formality hai",Negative,Neutral,0.9961,True
"Cinema hall mein kisi ne phone brightness full rakhi, complimentary lighthouse",Negative,Positive,0.9154,True
Theatre seats itni comfortable thi ki interval ke baad neend aa gayi,Negative,Positive,0.8072,True
Bhai villain ki entry hero se zyada dramatic thi,Positive,Neutral,0.8922,True
Soundtrack ne movie ke scenes se zyada emotional damage diya,Positive,Negative,0.9918,True
Theatre mein live acting screen se kaafi different feel hoti hai,Positive,Neutral,0.5582,False
Aaj local bookstore mein rare edition mil gaya,Positive,Neutral,0.976,False
"Book cover dekh ke book kharid li, literature ka risky shortcut",Positive,Negative,0.9924,True
Bhai 500-page novel start kiya aur bookmark ab permanent resident hai,Negative,Positive,0.9927,True
Used bookstore ki smell literally nostalgia hai,Positive,Negative,0.795,False
Library mein random travel book mili aur next trip plan ho gaya,Positive,Neutral,0.9764,True
Reading list 20 books ki hai aur current book page 34 pe,Negative,Neutral,0.9724,True
Historical novel padh ke old cities imagine karna fun hai,Positive,Neutral,0.5366,False
Bhai book ka ending itna open tha ki author se clarification chahiye,Neutral,Negative,0.5305,True
New bookmark lene ka best excuse obviously new book kharidna tha,Positive,Neutral,0.7486,True
Reading corner setup finally complete ho gaya,Positive,Neutral,0.617,False
Bhai croissant itna flaky tha ki table bhi participate kar raha tha,Positive,Negative,0.6924,True
Fresh juice stall pe fruit literally saamne cut hua,Positive,Neutral,0.9925,False
"Farmers market mein unusual purple carrots dekhe, nature showing off",Positive,Neutral,0.7066,True
Local cheese ka flavour expected se kaafi strong tha,Neutral,Positive,0.8627,False
"Bhai hot sauce ki bottle cute thi, andar se villain nikli",Negative,Positive,0.9807,True
"Dessert shop mein tiny cake mila, price giant tha",Negative,Positive,0.4817,True
"Aaj ek new fruit try kiya, taste completely unexpected tha",Positive,Neutral,0.9784,False
Street market ka grilled corn smell pura road control kar raha tha,Positive,Neutral,0.9635,True
Food stall pe line long thi but taste justified it,Positive,Neutral,0.8696,False
"Aaj homemade jam try kiya, store wali ab boring lag rahi",Positive,Negative,0.9706,True
Dessert ka portion tiny tha but sweetness full-sized,Positive,Neutral,0.9446,True
Bhai plate presentation itni fancy thi ki spoon use karne mein hesitation,Positive,Negative,0.9678,True
"AI ne poem likh di, ab writers ko bhi attendance lagani padegi shayad 😭",Neutral,Negative,0.9954,True
Bhai printer ne document tab print kiya jab mujhe uski zarurat hi nahi thi,Negative,Neutral,0.9734,True
Internet down hote hi sabko suddenly pata chal gaya ki neighbours bhi exist karte hain,Positive,Neutral,0.9646,True
E-reader pe reading ka experience expected se comfortable tha,Positive,Neutral,0.8636,False
"Digital map ne ek baar genuinely shortcut dikha diya, historic event",Positive,Neutral,0.9623,True
"Aaj coding museum jaisa old software interface dekha, nostalgia aa gaya",Positive,Neutral,0.9614,False
New app install ki aur terms and conditions ne pura novel likh rakha tha,Neutral,Negative,0.9497,True
Noise cancelling headphones ne outside world ko successfully mute kar diya,Positive,Neutral,0.9606,False
Bhai smart fridge ka idea sunke laga ab fridge bhi meri life monitor karega,Neutral,Positive,0.979,True
"3D printer se small model banaya, result kaafi neat nikla",Positive,Neutral,0.6725,False
"Password manager use karna start kiya, brain ko finally unpaid internship se retirement mili",Positive,Negative,0.9764,True
Digital ticket se entry karna paper ticket se kaafi easy laga,Positive,Neutral,0.985,False
"Aaj ek electric car ka test drive dekha, acceleration kaafi smooth tha",Positive,Neutral,0.9813,False
Charging station pe line dekh ke laga petrol pump bhi peaceful tha,Negative,Positive,0.8221,True
"Electric scooter surprisingly silent tha, pehle toh pata hi nahi chala koi aa raha hai",Positive,Neutral,0.8716,False
Bhai cycle ka tyre flat hua aur pump ghar pe obviously nahi tha,Negative,Neutral,0.9898,True
Aaj cycling trail pe kaafi different types ke bicycles dekhe,Positive,Neutral,0.9656,False
Parking app ne spot find kar diya before I started circling the area,Positive,Neutral,0.9924,False
High-speed train ka interior normal plane se zyada spacious laga,Positive,Neutral,0.9713,False
Bhai rental cycle ki seat adjust karne me hi half workout ho gaya,Negative,Neutral,0.9264,True
Airport trolley ko push karna bhi cardio category me aa gaya,Negative,Neutral,0.8631,True
Train compartment me window ke bahar pura landscape change hota raha,Positive,Neutral,0.9988,False
Iceland ke waterfalls ki photos dekh ke screen se hi thand lag gayi,Positive,Negative,0.5164,True
New Zealand ke landscapes unreal lag rahe the,Positive,Negative,0.9809,False
Bhai Dubai ki buildings dekh ke lagta hai gravity optional hai,Positive,Neutral,0.9899,True
Singapore ki streets ki cleanliness dekh ke dustbin bhi unemployed lagta hoga,Positive,Negative,0.6378,True
Bhai London ka weather ek din me four seasons complete kar raha tha,Neutral,Positive,0.5706,True
"Bhai Iceland me volcano aur glacier dono ek hi country me hain, nature overachieving hai",Positive,Neutral,0.9979,True
Brazilian carnival ke costumes literally walking artwork lagte hain,Positive,Neutral,0.8147,False
Bhutan ke mountain roads dekh ke driving confidence thoda kam ho gaya,Negative,Positive,0.9696,True
Amsterdam ki cycling culture kaafi different experience hai,Neutral,Positive,0.9856,False
Bhai festival me log itne colourful dressed the ki camera ne surrender kar diya,Positive,Negative,0.7869,True
Street parade me drums itne loud the ki heartbeat bhi rhythm me aa gayi,Positive,Negative,0.9262,True
Bhai costume change itna fast hua ki main abhi first outfit process kar raha tha,Positive,Negative,0.4654,True
Local festival me strangers bhi easily conversations start kar rahe the,Positive,Neutral,0.9724,False
"Fireworks dekhne gaya tha, smoke ne pehle hi welcome kar diya",Negative,Neutral,0.9957,True
Folk music live sunna recordings se kaafi different laga,Positive,Neutral,0.9602,False
Aaj cultural exhibition me different countries ke crafts dekhe,Positive,Neutral,0.6882,False
Traditional clothing ke patterns kaafi detailed the,Positive,Neutral,0.9931,False
Bhai parade me balloon itna bada tha ki usko bhi personal space chahiye tha,Positive,Neutral,0.7617,True
Flamingos ko group me walk karte dekh ke laga fashion show chal raha hai,Positive,Neutral,0.9849,True
Coral reef ke colours underwater kaafi vibrant the,Positive,Neutral,0.8619,False
Safari jeep me baith ke giraffe ko road cross karte dekha,Positive,Neutral,0.9954,False
Bhai peacock ne feathers khole aur main literally content creator ban gaya,Positive,Negative,0.9843,True
Bhai giraffe ke paas khade hoke human height ka confidence officially khatam,Negative,Positive,0.625,True
"Aaj badminton tournament dekha, rallies kaafi fast thi",Positive,Neutral,0.9359,False
Archery range pe first arrow expected se closer laga,Positive,Neutral,0.9856,False
Bhai bowling me ball gutter me gayi aur confidence bhi saath gaya,Negative,Positive,0.9898,True
Rock climbing wall ka first section manageable tha,Positive,Neutral,0.9967,False
Kayaking ka balance surprisingly difficult tha,Negative,Neutral,0.8625,False
Bhai golf ball ko hit karne gaya aur grass ne hi zyada damage liya,Negative,Neutral,0.9438,True
Bhai cycling race dekh ke meri normal cycle suddenly slow motion lag rahi,Positive,Negative,0.9738,True
Archery instructor ne posture correct kiya toh accuracy immediately improve hui,Positive,Neutral,0.9894,False
Boxing training ka warm-up hi main event jaisa tha,Negative,Neutral,0.9975,True
Aaj language exchange meetup me Spanish phrases seekhe,Positive,Neutral,0.9967,False
Korean alphabet ka structure expected se logical laga,Positive,Neutral,0.9927,False
Sign language ke basic gestures seekhna interesting experience tha,Positive,Neutral,0.9609,False
Aaj Italian food ke names pronounce karne ki practice ki,Positive,Neutral,0.9954,False
Language meetup me different countries ke logon se baat hui,Positive,Neutral,0.9961,False
Aaj new words note karne ke liye separate notebook bana li,Positive,Neutral,0.9921,False
Aaj astronomy documentary me exoplanets ke baare me dekha,Positive,Neutral,0.9965,False
Bhai scientist ne equation explain ki aur mera brain loading screen pe chala gaya,Negative,Neutral,0.9972,True
Ocean trenches ke depth numbers dekh ke genuinely shock laga,Negative,Positive,0.8092,False
Earthquake simulator me khade hoke balance maintain karna difficult tha,Negative,Neutral,0.9982,False
DNA model ka structure school diagram se zyada cool laga,Positive,Neutral,0.9832,False
Deep ocean pressure ke numbers sunke wahan jaana cancel,Negative,Neutral,0.9948,True
Meteorite sample ko close-up me dekhna unreal experience tha,Positive,Negative,0.909,False
Bhai science centre me pendulum dekhte dekhte 20 minute nikal gaye,Positive,Neutral,0.9846,True
Human brain ka model dekh ke memories kaise work karti hain samajhne ka mann hua,Positive,Neutral,0.9974,False
Bhai purane ads dekh ke laga marketing tab bhi drama karti thi,Positive,Negative,0.9911,True
Historical map me borders compare karna surprisingly interesting tha,Positive,Neutral,0.5149,False
Bhai old currency dekh ke inflation suddenly personal topic lagne laga,Negative,Neutral,0.9524,True
Historical letters padhne se past ke daily life ka idea milta hai,Positive,Neutral,0.7901,False
Bhai ancient kitchen ke utensils dekh ke modern kitchen ka respect badh gaya,Positive,Neutral,0.5222,True
Bhai purane telephone ko dekh ke smartphone ko unnecessarily advanced feel hua,Positive,Negative,0.8935,True
Bhai old alarm clock dekh ke laga humans ne snooze button pehle hi invent kar liya tha,Positive,Neutral,0.9563,True
Historical timeline wall dekhte dekhte pura afternoon nikal gaya,Neutral,Negative,0.6122,False
"Bhai weather app ne “light rain” bola tha, yahan toh clouds ne full revenge liya 😭",Negative,Neutral,0.976,True
Subah fog itna dense tha ki buildings literally disappear ho rahi thi,Neutral,Negative,0.9923,False
"Morning me sky completely clear tha, stars bhi thode visible the",Positive,Neutral,0.5718,False
Bhai temperature itna high hai ki ice cream bhi survival mode me hai,Negative,Neutral,0.5421,True
Gallery map haath me tha phir bhi main entrance ko exit samajh gaya,Negative,Neutral,0.9968,True
Photography exhibition me black-and-white portraits kaafi striking the,Positive,Neutral,0.9743,False
"Bhai painting ko 10 minute dekh ke bhi meaning nahi mila, art mujhe ignore kar rahi hai",Neutral,Negative,0.997,True
"Museum cafe ka bill dekh ke artwork samajh aaya, asli masterpiece toh pricing thi",Negative,Neutral,0.984,True
Art guide ne painting ka context bataya toh suddenly samajh aa gaya,Positive,Neutral,0.9213,False
"Gallery me ek chair pe baithne gaya, guard ne mujhe modern sculpture samajh liya shayad",Neutral,Negative,0.8207,True
Sculpture itni realistic thi ki ek second ke liye person samajh liya,Positive,Neutral,0.789,True
Bhai museum se nikla toh brain me 47 random facts install ho chuke the,Positive,Negative,0.9878,True
Bhai sabzi bhi ab luxury colour palette me aa rahi hai 😭,Neutral,Negative,0.96,True
Local honey ka flavour normal honey se kaafi different tha,Positive,Neutral,0.9659,False
Cheese stall pe samples itne tiny the ki microscope chahiye tha 😂,Negative,Neutral,0.9209,True
Fresh bread ka smell pura market cover kar raha tha,Positive,Neutral,0.5248,False
Bhai mushroom ke itne types dekhe ki ab main fungus expert hu apparently,Positive,Neutral,0.9699,True
Bhai “just one apple” lene gaya tha aur basket bhar ke aa gaya,Positive,Neutral,0.9901,True
Organic vegetable stall wale ne growing process bhi explain kiya,Positive,Neutral,0.9978,False
Bhai chilli tasting ke baad paani bhi insufficient resource lag raha tha,Negative,Neutral,0.6934,True
Local bakery ne traditional bread ka free sample diya,Positive,Neutral,0.9951,False
Farmers market me handmade chocolates ka section dangerous tha,Positive,Neutral,0.9899,True
"Aaj unusual mushrooms ki display dekhi, shapes kaafi weird the",Neutral,Positive,0.9728,False
"Bhai fruit vendor ne mango ka sample diya, ab pura crate chahiye",Positive,Neutral,0.7798,True
Aaj public garden me bonsai exhibition thi,Positive,Neutral,0.9924,False
Bhai bonsai tree ko dekh ke meri life bhi giant version lag rahi thi,Neutral,Positive,0.9969,True
"Bhai plant nursery gaya tha, wallet ne photosynthesis start kar di",Negative,Neutral,0.9951,True
Indoor greenhouse me tropical plants dekh ke weather forget ho gaya,Positive,Negative,0.3905,False
"Bhai garden me ek squirrel ne mujhe ignore kiya, celebrity attitude",Neutral,Negative,0.9309,True
"Bhai plant shop me sirf dekhne gaya tha, plant ghar le aaya",Positive,Neutral,0.9969,True
Botanical garden ka walking trail surprisingly long tha,Neutral,Positive,0.9861,False
"Aaj orchid exhibition dekhi, flowers ka design unreal tha",Positive,Negative,0.9286,False
Bhai bonsai ki age sunke plant ki respect salary se zyada ho gayi,Positive,Neutral,0.7879,True
Aaj pottery market me handmade mugs dekhe,Positive,Neutral,0.9867,False
Handwoven rugs ke patterns kaafi detailed the,Positive,Neutral,0.9944,False
Artisan ne wooden toy ka carving process live dikhaya,Positive,Neutral,0.997,False
Bhai basket weaving dekha aur suddenly engineering degree unnecessary lagne lagi,Positive,Negative,0.9734,True
Local pottery artist ne clay shaping ka technique explain kiya,Positive,Neutral,0.9925,False
Hand-carved stamp se printing ka process try kiya,Positive,Neutral,0.9984,False
Craft market me recycled material se banaye products bhi the,Positive,Neutral,0.9868,False
Bhai handmade lamp ka price dekh ke light se zyada shock mila,Negative,Positive,0.7606,True
Traditional woodwork ke patterns kaafi intricate the,Positive,Neutral,0.9912,False
Aaj observatory ke rooftop pe telescope setup dekha,Positive,Neutral,0.997,False
Bhai telescope itna bada tha ki mujhe laga satellite launch hone wala hai,Positive,Neutral,0.9648,True
Moon ke craters telescope me clearly visible the,Positive,Neutral,0.5455,False
Star map samajhne me thoda time laga but eventually ho gaya,Positive,Neutral,0.9943,False
Bhai constellation ka naam yaad kiya aur next minute bhool gaya,Negative,Neutral,0.9425,True
Meteor shower ke liye open field me wait karna worth it tha,Positive,Neutral,0.9941,False
Solar system model me Jupiter ka size dekh ke scale ka respect badh gaya,Positive,Neutral,0.9946,False
Asteroid samples ke replicas dekhna interesting tha,Positive,Neutral,0.8993,False
Observatory staff ne telescope operate karna patiently explain kiya,Positive,Neutral,0.9956,False
"Bhai shooting star dekh ke wish maangi, scientific evidence pending hai",Positive,Negative,0.7533,True
Galaxy images ke colours dekh ke believe karna mushkil tha ki real hain,Positive,Neutral,0.5674,False
Aaj street musician ne violin pe old song play kiya,Positive,Neutral,0.9964,False
Bhai singer ne high note hit kiya aur meri self-confidence ne exit le liya,Negative,Positive,0.892,True
Live piano performance ka sound recordings se much richer laga,Positive,Neutral,0.8174,False
Bhai guitar solo ke time audience ne mujhe bhi musician samajh liya shayad,Neutral,Positive,0.9944,True
Street performer ne audience ke kids ko performance me include kiya,Positive,Neutral,0.9977,False
Bhai conductor ko dekh ke laga music ka traffic police hota hai,Positive,Neutral,0.9579,True
Aaj old camera market me film rolls mil gaye,Positive,Neutral,0.9957,False
Bhai perfect sunset photo lene gaya aur birds ne frame hijack kar liya,Positive,Negative,0.9454,True
Film negatives ko scan karna surprisingly easy tha,Positive,Neutral,0.965,False
Bhai camera battery exactly tab dead hui jab view best tha,Negative,Neutral,0.987,True
Photography walk me city ke small details notice hue,Positive,Neutral,0.5725,False
Portrait photography workshop me lighting techniques seekhi,Positive,Neutral,0.9887,False
Old photographs ke handwritten notes kaafi personal feel hue,Positive,Neutral,0.9773,False
Camera museum me historical models ka evolution interesting tha,Positive,Neutral,0.7007,False
Bhai photo edit karte karte original photo hi identify nahi ho rahi,Neutral,Negative,0.9703,True
Aaj international food map dekh ke different cuisines compare kiye,Positive,Neutral,0.9979,False
Bhai menu me dish ka naam itna long tha ki order dene se pehle pronunciation practice karni padi,Neutral,Negative,0.9608,True
Mexican street food ke flavours kaafi bold the,Positive,Neutral,0.8607,False
Bhai chilli sauce ka “mild” label definitely written by an enemy tha,Negative,Neutral,0.9896,True
Bhai tiny dessert dekh ke laga chef ne portion ko minimalist art bana diya,Negative,Neutral,0.6573,True
Moroccan spices ki aroma kaafi distinct thi,Positive,Neutral,0.9015,False
Bhai chopsticks se noodles pakadne me pura physics revise ho gaya,Negative,Neutral,0.7592,True
Thai curry ka flavour spicy but balanced tha,Positive,Neutral,0.9663,False
Bhai menu ka “extra spicy” option dekh ke seedha normal pe aa gaya,Negative,Neutral,0.9641,True
Italian fresh pasta ka texture packaged pasta se noticeably different tha,Positive,Neutral,0.9969,False
Bhai dessert table dekh ke “sirf taste karunga” wala plan 4 plates ka ho gaya,Positive,Neutral,0.996,True
Aaj antique clock exhibition dekhi,Positive,Neutral,0.9972,False
"Bhai wall clock ruk gayi aur sabne time phone se check kiya, progress",Positive,Neutral,0.774,True
Bhai clock tower ka bell itna loud tha ki entire street ko reminder mil gaya,Neutral,Positive,0.8694,True
Bhai watch winding karte karte laga main 1800s me shift ho gaya,Positive,Neutral,0.9939,True
Sundial ko actually use karke time estimate karna fun tha,Positive,Neutral,0.9589,False
Bhai digital clock dekhne ki aadat ne sundial ko personally insult kar diya,Neutral,Negative,0.9872,True
Bhai aquarium me shark itni calmly ghoom rahi thi jaise uska rent paid ho,Neutral,Positive,0.6481,True
Penguin enclosure ke paas jaake temperature suddenly understandable ho gaya 😂,Positive,Neutral,0.8069,True
"Bhai octopus ne mujhe dekha aur instantly ignore kar diya, celebrity behaviour",Neutral,Negative,0.9924,True
"Seahorse ko first time close-up me dekha, kaafi tiny tha",Positive,Neutral,0.9871,False
Bhai fish ko feed karte waqt ek ne pura buffet apne naam kar liya,Positive,Neutral,0.838,True
Aquarium ka underwater camera footage kaafi clear tha,Positive,Neutral,0.8422,False
Bhai crab itna attitude me walk kar raha tha jaise meeting uski ho,Positive,Negative,0.8853,True
Sea turtle rescue section me rehabilitation ke baare me kaafi kuch pata chala,Positive,Neutral,0.9031,False
Aquarium staff ne different species ke behaviour explain kiye,Positive,Neutral,0.997,False
Bhai fish ne camera ke saamne pose diya aur phir seedha nikal gayi,Positive,Neutral,0.9901,True
"Aaj farmers' cooperative ka process samjha, kaafi organised system hai",Positive,Neutral,0.5314,False
Local community garden me volunteers milke vegetables grow kar rahe the,Positive,Neutral,0.9944,False
Community library me books donate karne ka drive chal raha tha,Positive,Neutral,0.9792,False
Bhai notice board pe 14 posters the aur koi actual information nahi thi,Negative,Neutral,0.9847,True
Local volunteer group emergency supplies collect kar raha tha,Positive,Neutral,0.9964,False
Donation drive me books aur clothes dono collect ho rahe the,Positive,Neutral,0.5682,False
Local shelter ke liye volunteers weekend pe help kar rahe hain,Positive,Neutral,0.9769,False
Community event me different age groups ke log participate kar rahe the,Positive,Neutral,0.9906,False
Volunteer coordinator ne tasks kaafi clearly divide kiye,Positive,Neutral,0.9962,False
"Bhai feedback form me “optional” likha tha, phir reminder teen baar aa gaya",Negative,Neutral,0.9956,True
Aaj train journey me ek elderly couple se interesting conversation hui,Positive,Neutral,0.8001,False
Bhai station announcement itni unclear thi ki sab passengers ek dusre ko dekh rahe the,Negative,Neutral,0.9733,True
Journey ke dauran ek small town station pe local snacks try kiye,Positive,Neutral,0.9935,False
Bhai train 2 minute late hui aur announcement ne aisa bola jaise national emergency ho,Neutral,Negative,0.6111,True
"Train me charging point actually kaam kar raha tha, rare achievement",Positive,Neutral,0.8496,True
"Bhai luggage rack pe jagah mil gayi, aaj universe favour me hai",Positive,Neutral,0.8254,True
Station ke platform pe local musicians perform kar rahe the,Positive,Neutral,0.9936,False
Mountain railway ka route kaafi scenic aur slow-paced tha,Positive,Neutral,0.8871,False
Train me ek child ne pura journey window ke bahar dekhte hue spend ki,Positive,Neutral,0.602,False
"Bhai station pe chai nahi, souvenir lene gaya tha aur suitcase bhar gaya",Positive,Neutral,0.9763,True
Railway staff ne route change ka update clearly announce kiya,Positive,Neutral,0.9097,False
Aaj street market me handmade postcards mile,Positive,Neutral,0.9946,False
Bhai postcard bhejne ke liye address likhna bhi ab advanced skill lag raha hai,Neutral,Negative,0.9422,True
Bhai ek pen test karne gaya aur 15 minute stationery consultant ban gaya,Positive,Neutral,0.974,True
